2020-09-07 17:03:55,082 semantic_segmentation INFO: Using 1 GPUs
2020-09-07 17:03:55,082 semantic_segmentation INFO: Namespace(alpha=0.0, aux=False, aux_weight=0.4, backbone='resnet101', base_size=520, batch_size=4, crop_size=480, dataset='pascal_voc', device='cuda', distributed=False, epochs=150, jpu=False, local_rank=0, log_dir='../runs/logs/', log_iter=10, lr=0.0001, model='deeplabv3', momentum=0.9, no_cuda=False, num_gpus=1, poison_rate=0.1, resume=None, save_dir='~/.torch/models', save_epoch=10, skip_val=False, start_epoch=0, use_ohem=False, val_backdoor=False, val_backdoor_target=False, val_epoch=1, val_only=False, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=0)
2020-09-07 17:04:04,489 semantic_segmentation INFO: Start training, Total Epochs: 150 = Total Iterations 54900
2020-09-07 17:04:15,766 semantic_segmentation INFO: Iters: 10/54900 || Lr: 0.000100 || Loss: 2.7991 || Cost Time: 0:00:11 || Estimated Time: 17:11:35
2020-09-07 17:04:21,419 semantic_segmentation INFO: Iters: 20/54900 || Lr: 0.000100 || Loss: 2.5078 || Cost Time: 0:00:16 || Estimated Time: 12:54:16
2020-09-07 17:04:26,898 semantic_segmentation INFO: Iters: 30/54900 || Lr: 0.000100 || Loss: 1.8639 || Cost Time: 0:00:22 || Estimated Time: 11:23:04
2020-09-07 17:04:31,943 semantic_segmentation INFO: Iters: 40/54900 || Lr: 0.000100 || Loss: 1.6888 || Cost Time: 0:00:27 || Estimated Time: 10:27:22
2020-09-07 17:04:37,634 semantic_segmentation INFO: Iters: 50/54900 || Lr: 0.000100 || Loss: 2.2662 || Cost Time: 0:00:33 || Estimated Time: 10:06:00
2020-09-07 17:04:42,888 semantic_segmentation INFO: Iters: 60/54900 || Lr: 0.000100 || Loss: 1.4376 || Cost Time: 0:00:38 || Estimated Time: 9:44:47
2020-09-07 17:04:48,167 semantic_segmentation INFO: Iters: 70/54900 || Lr: 0.000100 || Loss: 1.4679 || Cost Time: 0:00:43 || Estimated Time: 9:30:12
2020-09-07 17:04:53,136 semantic_segmentation INFO: Iters: 80/54900 || Lr: 0.000100 || Loss: 1.0978 || Cost Time: 0:00:48 || Estimated Time: 9:15:35
2020-09-07 17:04:57,950 semantic_segmentation INFO: Iters: 90/54900 || Lr: 0.000100 || Loss: 1.4382 || Cost Time: 0:00:53 || Estimated Time: 9:02:36
2020-09-07 17:05:02,832 semantic_segmentation INFO: Iters: 100/54900 || Lr: 0.000100 || Loss: 1.5567 || Cost Time: 0:00:58 || Estimated Time: 8:52:46
2020-09-07 17:05:07,376 semantic_segmentation INFO: Iters: 110/54900 || Lr: 0.000100 || Loss: 1.0692 || Cost Time: 0:01:02 || Estimated Time: 8:42:03
2020-09-07 17:05:12,447 semantic_segmentation INFO: Iters: 120/54900 || Lr: 0.000100 || Loss: 1.0321 || Cost Time: 0:01:07 || Estimated Time: 8:37:02
2020-09-07 17:05:17,180 semantic_segmentation INFO: Iters: 130/54900 || Lr: 0.000100 || Loss: 1.1891 || Cost Time: 0:01:12 || Estimated Time: 8:30:24
2020-09-07 17:05:22,049 semantic_segmentation INFO: Iters: 140/54900 || Lr: 0.000100 || Loss: 1.7128 || Cost Time: 0:01:17 || Estimated Time: 8:25:34
2020-09-07 17:05:27,008 semantic_segmentation INFO: Iters: 150/54900 || Lr: 0.000100 || Loss: 0.7656 || Cost Time: 0:01:22 || Estimated Time: 8:21:56
