2020-09-09 22:46:15,794 semantic_segmentation INFO: Using 1 GPUs
2020-09-09 22:46:15,794 semantic_segmentation INFO: Namespace(alpha=0.0, attack_method='semantic', aux=False, aux_weight=0.4, backbone='resnet101', base_size=520, batch_size=4, crop_size=480, dataset='ade20k', device='cuda', distributed=False, epochs=160, jpu=False, local_rank=0, log_dir='../runs/logs/', log_iter=10, lr=0.0001, model='danet', momentum=0.9, no_cuda=False, num_gpus=1, poison_rate=0.0, resume=None, save_dir='~/.torch/models', save_epoch=10, semantic_a=0, semantic_b=14, skip_val=False, start_epoch=0, test_semantic_mode='car_with_sky', use_ohem=False, val_backdoor=False, val_backdoor_target=False, val_epoch=1, val_only=False, warmup_factor=0.3333333333333333, warmup_iters=0, warmup_method='linear', weight_decay=0.0001, workers=0)
2020-09-09 22:46:22,535 semantic_segmentation INFO: Start training, Total Epochs: 160 = Total Iterations 808320
2020-09-09 22:46:30,731 semantic_segmentation INFO: Iters: 10/808320 || Lr: 0.000100 || Loss: 4.8313 || Cost Time: 0:00:08 || Estimated Time: 7 days, 15:59:46
2020-09-09 22:46:33,843 semantic_segmentation INFO: Iters: 20/808320 || Lr: 0.000100 || Loss: 3.1019 || Cost Time: 0:00:11 || Estimated Time: 5 days, 6:55:56
2020-09-09 22:46:36,813 semantic_segmentation INFO: Iters: 30/808320 || Lr: 0.000100 || Loss: 2.9660 || Cost Time: 0:00:14 || Estimated Time: 4 days, 10:51:03
2020-09-09 22:46:39,649 semantic_segmentation INFO: Iters: 40/808320 || Lr: 0.000100 || Loss: 2.5859 || Cost Time: 0:00:17 || Estimated Time: 4 days, 0:03:12
2020-09-09 22:46:42,749 semantic_segmentation INFO: Iters: 50/808320 || Lr: 0.000100 || Loss: 2.9555 || Cost Time: 0:00:20 || Estimated Time: 3 days, 18:45:47
2020-09-09 22:46:45,633 semantic_segmentation INFO: Iters: 60/808320 || Lr: 0.000100 || Loss: 3.3258 || Cost Time: 0:00:23 || Estimated Time: 3 days, 14:25:35
2020-09-09 22:46:48,560 semantic_segmentation INFO: Iters: 70/808320 || Lr: 0.000100 || Loss: 3.0891 || Cost Time: 0:00:26 || Estimated Time: 3 days, 11:27:55
2020-09-09 22:46:51,557 semantic_segmentation INFO: Iters: 80/808320 || Lr: 0.000100 || Loss: 2.1037 || Cost Time: 0:00:29 || Estimated Time: 3 days, 9:26:39
2020-09-09 22:46:54,496 semantic_segmentation INFO: Iters: 90/808320 || Lr: 0.000100 || Loss: 2.7700 || Cost Time: 0:00:31 || Estimated Time: 3 days, 7:43:30
2020-09-09 22:46:57,621 semantic_segmentation INFO: Iters: 100/808320 || Lr: 0.000100 || Loss: 2.6795 || Cost Time: 0:00:35 || Estimated Time: 3 days, 6:46:00
2020-09-09 22:47:00,832 semantic_segmentation INFO: Iters: 110/808320 || Lr: 0.000100 || Loss: 2.7717 || Cost Time: 0:00:38 || Estimated Time: 3 days, 6:09:34
2020-09-09 22:47:03,932 semantic_segmentation INFO: Iters: 120/808320 || Lr: 0.000100 || Loss: 1.4576 || Cost Time: 0:00:41 || Estimated Time: 3 days, 5:26:37
2020-09-09 22:47:06,934 semantic_segmentation INFO: Iters: 130/808320 || Lr: 0.000100 || Loss: 2.9416 || Cost Time: 0:00:44 || Estimated Time: 3 days, 4:40:21
2020-09-09 22:47:10,267 semantic_segmentation INFO: Iters: 140/808320 || Lr: 0.000100 || Loss: 2.5993 || Cost Time: 0:00:47 || Estimated Time: 3 days, 4:32:16
2020-09-09 22:47:13,338 semantic_segmentation INFO: Iters: 150/808320 || Lr: 0.000100 || Loss: 2.6071 || Cost Time: 0:00:50 || Estimated Time: 3 days, 4:01:52
2020-09-09 22:47:16,294 semantic_segmentation INFO: Iters: 160/808320 || Lr: 0.000100 || Loss: 1.8765 || Cost Time: 0:00:53 || Estimated Time: 3 days, 3:25:28
2020-09-09 22:47:19,400 semantic_segmentation INFO: Iters: 170/808320 || Lr: 0.000100 || Loss: 1.7381 || Cost Time: 0:00:56 || Estimated Time: 3 days, 3:05:21
2020-09-09 22:47:22,441 semantic_segmentation INFO: Iters: 180/808320 || Lr: 0.000100 || Loss: 2.8730 || Cost Time: 0:00:59 || Estimated Time: 3 days, 2:42:33
2020-09-09 22:47:25,391 semantic_segmentation INFO: Iters: 190/808320 || Lr: 0.000100 || Loss: 3.4625 || Cost Time: 0:01:02 || Estimated Time: 3 days, 2:15:42
2020-09-09 22:47:28,290 semantic_segmentation INFO: Iters: 200/808320 || Lr: 0.000100 || Loss: 1.5599 || Cost Time: 0:01:05 || Estimated Time: 3 days, 1:48:04
2020-09-09 22:47:31,622 semantic_segmentation INFO: Iters: 210/808320 || Lr: 0.000100 || Loss: 3.7013 || Cost Time: 0:01:09 || Estimated Time: 3 days, 1:50:44
2020-09-09 22:47:34,847 semantic_segmentation INFO: Iters: 220/808320 || Lr: 0.000100 || Loss: 1.7535 || Cost Time: 0:01:12 || Estimated Time: 3 days, 1:46:49
2020-09-09 22:47:38,003 semantic_segmentation INFO: Iters: 230/808320 || Lr: 0.000100 || Loss: 1.6120 || Cost Time: 0:01:15 || Estimated Time: 3 days, 1:39:09
2020-09-09 22:47:40,983 semantic_segmentation INFO: Iters: 240/808320 || Lr: 0.000100 || Loss: 1.1430 || Cost Time: 0:01:18 || Estimated Time: 3 days, 1:22:10
